date,T_PCR_p,PCR_p,sibuya_0415,sibuya_0405,sibuya_0401
2020/3/13,724 ,34 ,0.8253 ,0.8253 ,0.8253 
2020/3/14,787 ,63 ,0.8245 ,0.8245 ,0.8245 
2020/3/15,818 ,31 ,0.8222 ,0.8222 ,0.8222 
2020/3/16,835 ,17 ,0.8187 ,0.8187 ,0.8187 
2020/3/17,880 ,45 ,0.8143 ,0.8143 ,0.8143 
2020/3/18,921 ,41 ,0.8091 ,0.8091 ,0.8091 
2020/3/19,961 ,40 ,0.8029 ,0.8029 ,0.8029 
2020/3/20,1015 ,54 ,0.7957 ,0.7957 ,0.7957 
2020/3/21,1054 ,39 ,0.7886 ,0.7886 ,0.7886 
2020/3/22,1102 ,48 ,0.7818 ,0.7818 ,0.7818 
2020/3/23,1141 ,39 ,0.7728 ,0.7728 ,0.7728 
2020/3/24,1213 ,72 ,0.7613 ,0.7613 ,0.7613 
2020/3/25,1309 ,96 ,0.7473 ,0.7473 ,0.7473 
2020/3/26,1403 ,94 ,0.7310 ,0.7310 ,0.7310 
2020/3/27,1526 ,123 ,0.7127 ,0.7127 ,0.7127 
2020/3/28,1728 ,202 ,0.6924 ,0.6924 ,0.6924 
2020/3/29,1901 ,173 ,0.6701 ,0.6701 ,0.6701 
2020/3/30,1994 ,93 ,0.6464 ,0.6464 ,0.6464 
2020/3/31,2237 ,243 ,0.6212 ,0.6212 ,0.6212 
2020/4/1,2503 ,268 ,0.5945 ,0.5945 ,0.5945 
2020/4/2,2782 ,279 ,0.5664 ,0.5664 ,0.5664 
2020/4/3,3139 ,357 ,0.5364 ,0.5364 ,0.5364 
2020/4/4,3507 ,368 ,0.5046 ,0.5046 ,0.5046 
2020/4/5,3865 ,358 ,0.4739 ,0.4739 ,0.4739 
2020/4/6,4109 ,244 ,0.4462 ,0.4462 ,0.4462 
2020/4/7,4477 ,368 ,0.4215 ,0.4215 ,0.4215 
2020/4/8,5003 ,526 ,0.4002 ,0.4002 ,0.4002 
2020/4/9,5581 ,578 ,0.3824 ,0.3824 ,0.3824 
2020/4/10,6225 ,644 ,0.3678 ,0.3678 ,0.3678 
2020/4/11,6945 ,720 ,0.3565 ,0.3565 ,0.3565 
2020/4/12,7452 ,507 ,0.3454 ,0.3454 ,0.3454 
2020/4/13,7757 ,305 ,0.3347 ,0.3347 ,0.3347 
2020/4/14,8237 ,480 ,0.3254 ,0.3254 ,0.3254 
2020/4/15,8786 ,549 ,0.3172 ,0.3172 ,0.3172 
2020/4/16,9362 ,576 ,0.3101 ,0.3101 ,0.3101 
2020/4/17,9922 ,560 ,0.3036 ,0.3036 ,0.3036 
2020/4/18,10511 ,589 ,0.2935 ,0.2935 ,0.2935 
2020/4/19,10887 ,376 ,0.2818 ,0.2818 ,0.2818 
2020/4/20,11232 ,345 ,0.2686 ,0.2686 ,0.2686 
2020/4/21,11623 ,391 ,0.2584 ,0.2584 ,0.2584 
2020/4/22,12066 ,443 ,0.2406 ,0.2406 ,0.2406 
2020/4/23,12501 ,435 ,0.2396 ,0.2396 ,0.2396 
2020/4/24,12944 ,443 ,0.2399 ,0.2399 ,0.2399 
2020/4/25,13328 ,384 ,0.2257 ,0.2257 ,0.2257 
2020/4/26,13548 ,220 ,0.2283 ,0.2283 ,0.2283 
2020/4/27,13722 ,174 ,0.2326 ,0.2326 ,0.2326 
2020/4/28,14004 ,282 ,0.2286 ,0.2286 ,0.2286 
2020/4/29,14227 ,223 ,0.2240 ,0.2240 ,0.2240 
2020/4/30,14428 ,201 ,0.2198 ,0.2198 ,0.2198 
2020/5/1,14694 ,266 ,0.2237 ,0.2237 ,0.2237 
2020/5/2,14997 ,303 ,0.2086 ,0.2086 ,0.2086 
2020/5/3,15200 ,203 ,0.1992 ,0.1992 ,0.1992 
2020/5/4,15377 ,177 ,0.2046 ,0.2046 ,0.2046 
2020/5/5,15497 ,120 ,0.1959 ,0.1959 ,0.1959 
2020/5/6,15601,104,0.1882 ,0.1882 ,0.1882 
2020/5/7,15697,96,0.1917 ,0.1917 ,0.1917 
2020/5/8,15785,88,0.1984 ,0.1984 ,0.1984 
2020/5/9,15899,114,0.2030 ,0.2030 ,0.2030 
2020/5/10,15969 ,70 ,0.2073 ,0.2073 ,0.2073 
2020/5/11,16014 ,45 ,0.2147 ,0.2147 ,0.2147 
2020/5/12,16095 ,81 ,0.2164 ,0.2174 ,0.2184 
2020/5/13,16150 ,55 ,0.2191 ,0.2222 ,0.2252 
2020/5/14,16250 ,100 ,0.2229 ,0.2290 ,0.2351 
2020/5/15,16300 ,50 ,0.2276 ,0.2378 ,0.2480 
2020/5/16,16357 ,57 ,0.2334 ,0.2487 ,0.2640 
2020/5/17,16383 ,26 ,0.2402 ,0.2616 ,0.2830 
2020/5/18,16414 ,31 ,0.2480 ,0.2766 ,0.3051 
2020/5/19,16441 ,27 ,0.2569 ,0.2936 ,0.3303 
2020/5/20,16480 ,39 ,0.2661 ,0.3119 ,0.3578 
2020/5/21,16518 ,38 ,0.2742 ,0.3303 ,0.3853 
2020/5/22,16543 ,25 ,0.2813 ,0.3486 ,0.4128 
2020/5/23,16569 ,26 ,0.2875 ,0.3670 ,0.4404 
2020/5/24,16603 ,34 ,0.2926 ,0.3853 ,0.4679 
2020/5/25,,,0.2966 ,0.4037 ,0.4954 
2020/5/26,,,0.2997 ,0.4220 ,0.5199 
2020/5/27,,,0.3017 ,0.4383 ,0.5413 
2020/5/28,,,0.3028 ,0.4526 ,0.5596 
2020/5/29,,,0.3028 ,0.4648 ,0.5749 
2020/5/30,,,0.3028 ,0.4750 ,0.5872 
2020/5/31,,,0.3028 ,0.4832 ,0.5963 
2020/6/1,,,0.3028 ,0.4893 ,0.6024 
2020/6/2,,,0.3028 ,0.4934 ,0.6055 
2020/6/3,,,0.3028 ,0.4954 ,0.6055 
2020/6/4,,,0.3028 ,0.4954 ,0.6055 
2020/6/5,,,0.3028 ,0.4954 ,0.6055 
2020/6/6,,,0.3028 ,0.4954 ,0.6055 
2020/6/7,,,0.3028 ,0.4954 ,0.6055 
2020/6/8,,,0.3028 ,0.4954 ,0.6055 
2020/6/9,,,0.3028 ,0.4954 ,0.6055 
2020/6/10,,,0.3028 ,0.4954 ,0.6055 
2020/6/11,,,0.3028 ,0.4954 ,0.6055 
2020/6/12,,,0.3028 ,0.4954 ,0.6055 
2020/6/13,,,0.3028 ,0.4954 ,0.6055 
2020/6/14,,,0.3028 ,0.4954 ,0.6055 
2020/6/15,,,0.3028 ,0.4954 ,0.6055 
2020/6/16,,,0.3028 ,0.4954 ,0.6055 
2020/6/17,,,0.3028 ,0.4954 ,0.6055 
2020/6/18,,,0.3028 ,0.4954 ,0.6055 
2020/6/19,,,0.3028 ,0.4954 ,0.6055 
2020/6/20,,,0.3028 ,0.4954 ,0.6055 
2020/6/21,,,0.3028 ,0.4954 ,0.6055 
2020/6/22,,,0.3028 ,0.4954 ,0.6055 
2020/6/23,,,0.3028 ,0.4954 ,0.6055 
2020/6/24,,,0.3028 ,0.4954 ,0.6055 
2020/6/25,,,0.3028 ,0.4954 ,0.6055 
2020/6/26,,,0.3028 ,0.4954 ,0.6055 
2020/6/27,,,0.3028 ,0.4954 ,0.6055 
2020/6/28,,,0.3028 ,0.4954 ,0.6055 
2020/6/29,,,0.3028 ,0.4954 ,0.6055 
2020/6/30,,,0.3028 ,0.4954 ,0.6055 
